date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
3/9/2025,28,Manchester United,34,4,Leandro Trossard,saved,0.4,left,no,right halfspace,through ball over top,positional,Jurrien Timber,normal pass,Martin Odegaard,through ball over top,volley,0,2,close,wide,n/a,no,no,0,mid,n/a,organized,6,no,no,532,
3/9/2025,28,Manchester United,35,4,Martin Odegaard,blocked,0.06,left,yes,middle,normal pass,transition,Ethan Nwaneri,normal pass,Mikel Merino,normal pass,normal,4,5,medium,straight,n/a,no,yes,2,mid,n/a,organized,5,no,no,532,
3/9/2025,28,Manchester United,52,n/a,Declan Rice,off target,0.02,right,yes,right corner,set piece,set piece,n/a,n/a,Martin Odegaard,corner,volley,0,2,close,straight,n/a,no,no,4,low,n/a,organized,10,no,no,532,
3/9/2025,28,Manchester United,66,n/a,Leandro Trossard,off target,0.04,right,yes,right corner,set piece,set piece,Gabriel Martinelli,normal pass,Martin Odegaard,normal pass,normal,3,5,medium,straight,Leandro Trossard,no,yes,5,low,n/a,organized,7,no,no,532,
3/9/2025,28,Manchester United,74,5,Declan Rice,goal,0.06,right,yes,right,dribble,positional,Gabriel Martinelli,normal pass,Jurrien Timber,normal pass,normal,0,2,close,wide,Jurrien Timber,no,no,2,low,n/a,organized,10,no,no,532,
3/9/2025,28,Manchester United,82,3,Gabriel Martinelli,saved,0.29,right,yes,right halfspace,through ball over top,positional,Gabriel,normal pass,Mikel Merino,through ball over top,normal,2,3,close,narrow,n/a,no,no,0,high,n/a,organized,6,no,no,532,
3/9/2025,28,Manchester United,85,3,Leandro Trossard,off target,0.1,left,no,left,normal pass,transition,Myles Lewis-Skelly,through ball,Kieran Tierney,driven cross,normal,0,2,close,straight,n/a,no,no,2,high,n/a,organized,6,no,no,532,
3/9/2025,28,Manchester United,92,6,Martin Odegaard,saved,0.1,left,yes,left,normal pass,positional,Myles Lewis-Skelly,normal pass,Leandro Trossard,normal pass,normal,0,2,close,straight,n/a,no,no,1,mid,n/a,organized,6,no,no,532,
3/16/2025,29,Chelsea,3,6,Leandro Trossard,off target,0.08,right,yes,right,through ball,positional,Jurrien Timber,through ball,Gabriel Martinelli,cutback,normal,2,2,close,straight,n/a,no,yes,2,mid,n/a,organized,7,no,no,4231,
3/16/2025,29,Chelsea,9,5,Gabriel Martinelli,saved,0.05,right,yes,left halfspace,recovery,transition,n/a,n/a,n/a,n/a,normal,6,4,close,wide,n/a,no,yes,1,high,n/a,organized,4,yes,no,4231,
